SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,FreightAmount,CarrierTrackingNumber,CustomerPONumber,RevisionNumber
SO46194,1,11939,313,20200412,20200422,20200419,1,100,4,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO46469,1,19033,332,20200512,20200522,20200519,1,100,7,1,699.0982,699.0982,0.0000,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,1
SO46748,1,26252,360,20200608,20200618,20200615,1,100,4,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO47094,1,15664,377,20200704,20200714,20200711,1,100,8,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO47301,1,26292,358,20200726,20200805,20200802,1,100,1,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO47620,1,12239,352,20200824,20200903,20200831,1,98,10,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO47900,1,13035,362,20200922,20201002,20200929,2,6,9,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO48240,1,20856,323,20201025,20201104,20201101,1,98,10,1,782.9900,782.9900,0.0000,0,486.7066,486.7066,782.9900,62.6392,19.5748,,,1
SO48561,1,26562,341,20201113,20201123,20201120,1,6,9,1,782.9900,782.9900,0.0000,0,486.7066,486.7066,782.9900,62.6392,19.5748,,,1
SO48833,1,23118,373,20201205,20201215,20201212,1,6,9,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO49172,1,13885,368,20210101,20210111,20210108,1,100,1,1,2443.3500,2443.3500,0.0000,0,1518.7864,1518.7864,2443.3500,195.4680,61.0838,,,1
SO49379,1,27067,360,20210121,20210131,20210128,1,100,4,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO49692,1,17960,375,20210214,20210224,20210221,1,98,10,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO49973,1,24173,379,20210308,20210318,20210315,1,6,9,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO50180,1,17777,369,20210330,20210409,20210406,2,100,8,1,2443.3500,2443.3500,0.0000,0,1518.7864,1518.7864,2443.3500,195.4680,61.0838,,,1
SO50521,1,27279,356,20210419,20210429,20210426,1,100,1,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO50553,1,19500,387,20210422,20210502,20210429,1,98,10,1,1000.4375,1000.4375,0.0000,0,605.6492,605.6492,1000.4375,80.0350,25.0109,,,1
SO50862,1,27541,356,20210510,20210520,20210517,1,100,4,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO51069,1,16180,358,20210529,20210608,20210605,1,6,9,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO51246,1,25625,574,20210603,20210613,20210610,1,100,8,1,2384.0700,2384.0700,0.0000,0,1481.9379,1481.9379,2384.0700,190.7256,59.6018,,,1
SO51320,2,24061,541,20210608,20210618,20210615,1,100,7,1,28.9900,28.9900,0.0000,0,10.8423,10.8423,28.9900,2.3192,0.7248,,,1
SO51396,1,13849,588,20210613,20210623,20210620,1,100,1,1,769.4900,769.4900,0.0000,0,419.7784,419.7784,769.4900,61.5592,19.2373,,,1
SO51469,4,11168,485,20210618,20210628,20210625,1,100,4,1,21.9800,21.9800,0.0000,0,8.2205,8.2205,21.9800,1.7584,0.5495,,,1
SO51544,2,11244,537,20210623,20210703,20210630,1,98,10,1,35.0000,35.0000,0.0000,0,13.0900,13.0900,35.0000,2.8000,0.8750,,,1
SO51620,1,21040,583,20210627,20210707,20210704,1,98,10,1,1700.9900,1700.9900,0.0000,0,1082.5100,1082.5100,1700.9900,136.0792,42.5248,,,1
SO51888,2,29079,214,20210701,20210711,20210708,1,100,4,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO51970,1,17305,539,20210703,20210713,20210710,1,6,9,1,24.9900,24.9900,0.0000,0,9.3463,9.3463,24.9900,1.9992,0.6248,,,1
SO52060,3,18699,529,20210704,20210714,20210711,1,6,9,1,3.9900,3.9900,0.0000,0,1.4923,1.4923,3.9900,0.3192,0.0998,,,1
SO52152,3,23224,225,20210706,20210716,20210713,1,98,10,1,8.9900,8.9900,0.0000,0,6.9223,6.9223,8.9900,0.7192,0.2248,,,1
SO52235,2,23277,478,20210708,20210718,20210715,1,100,4,1,9.9900,9.9900,0.0000,0,3.7363,3.7363,9.9900,0.7992,0.2498,,,1
SO52312,2,29428,530,20210709,20210719,20210716,1,100,8,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO52397,3,11683,478,20210711,20210721,20210718,1,100,4,1,9.9900,9.9900,0.0000,0,3.7363,3.7363,9.9900,0.7992,0.2498,,,1
SO52482,3,16324,536,20210713,20210723,20210720,1,98,10,1,29.9900,29.9900,0.0000,0,11.2163,11.2163,29.9900,2.3992,0.7498,,,1
SO52569,4,19766,214,20210714,20210724,20210721,1,6,9,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO52653,2,14339,478,20210716,20210726,20210723,1,100,4,1,9.9900,9.9900,0.0000,0,3.7363,3.7363,9.9900,0.7992,0.2498,,,1
SO52739,1,19726,536,20210718,20210728,20210725,1,19,6,1,29.9900,29.9900,0.0000,0,11.2163,11.2163,29.9900,2.3992,0.7498,,,1
SO52826,3,11647,478,20210719,20210729,20210726,1,19,6,1,9.9900,9.9900,0.0000,0,3.7363,3.7363,9.9900,0.7992,0.2498,,,1
SO52910,2,24855,529,20210721,20210731,20210728,1,100,8,1,3.9900,3.9900,0.0000,0,1.4923,1.4923,3.9900,0.3192,0.0998,,,1
SO53004,1,16482,390,20210724,20210803,20210731,1,6,9,1,1120.4900,1120.4900,0.0000,0,713.0798,713.0798,1120.4900,89.6392,28.0123,,,1
SO53087,1,28810,539,20210725,20210804,20210801,1,100,4,1,24.9900,24.9900,0.0000,0,9.3463,9.3463,24.9900,1.9992,0.6248,,,1
SO53173,1,25759,568,20210726,20210805,20210802,13,100,7,1,742.3500,742.3500,0.0000,0,461.4448,461.4448,742.3500,59.3880,18.5588,,,1
SO55508,1,25224,528,20210903,20210913,20210910,1,6,9,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO56428,2,27967,479,20210919,20210929,20210926,1,98,10,1,8.9900,8.9900,0.0000,0,3.3623,3.3623,8.9900,0.7192,0.2248,,,1
SO56511,2,13748,237,20210921,20211001,20210928,2,100,1,1,49.9900,49.9900,0.0000,0,38.4923,38.4923,49.9900,3.9992,1.2498,,,1
SO56592,2,19768,477,20210922,20211002,20210929,1,100,4,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO56677,3,11805,214,20210924,20211004,20211001,1,100,4,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO56757,3,24909,529,20210926,20211006,20211003,1,6,9,1,3.9900,3.9900,0.0000,0,1.4923,1.4923,3.9900,0.3192,0.0998,,,1
SO56844,4,19577,480,20210927,20211007,20211004,1,6,9,1,2.2900,2.2900,0.0000,0,0.8565,0.8565,2.2900,0.1832,0.0573,,,1
SO56942,2,17046,474,20210929,20211009,20211006,1,6,9,1,69.9900,69.9900,0.0000,0,26.1763,26.1763,69.9900,5.5992,1.7498,,,1
SO57209,3,16950,225,20211001,20211011,20211008,1,19,6,1,8.9900,8.9900,0.0000,0,6.9223,6.9223,8.9900,0.7192,0.2248,,,1
SO57301,2,24914,529,20211003,20211013,20211010,1,6,9,1,3.9900,3.9900,0.0000,0,1.4923,1.4923,3.9900,0.3192,0.0998,,,1
SO43699,1,25863,346,20190701,20190711,20190708,1,100,1,1,3399.9900,3399.9900,0.0000,0,1912.1544,1912.1544,3399.9900,271.9992,84.9998,,,1
SO43981,1,16664,314,20190723,20190802,20190730,1,6,9,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO44248,1,17240,313,20190825,20190904,20190901,1,6,9,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
